ime,Sedež,Svetovni rang 2025,Tržna kapitalzicija Dec-25-2022 (Billion $),Svetovni rang Jan 2022,Tržna vrednost Jan 2022 (Billion $),Kategorija,Število zaposlenih,Letni dohodek (Million $),Neto dohodek (Million $)
PING AN BANK,China,462,36,360,52,Financial Services,38600,24898,5341
HAPAG-LLOYD,Germany,463,36,327,56,Industries,14106,24545,10000
EAST MONEY INFORMATION,China,464,36,341,55,Communication Services,4553,2057,1344
NESTE OYJ,Finland,465,36,519,39,Energy,5200,16693,1953
DOW Inc,USA,466,36,454,44,Basic Materials,37800,56902,4582
BOC HONG KONG,Hong Kong,467,36,544,38,Financial Services,14462,8291,2917
ANTA SPORTS PRODUCTS,China,468,36,548,37,Consumer Cyclical,41000,7749,1213
LARSEN &amp; TOUBRO,India,469,36,578,36,Industries,245677,19486,1085
LAS VEGAS SANDS CORP,USA,470,36,722,29,Consumer Cyclical,35700,4110,1832
HALLIBURTON COMPANY,USA,471,35,897,23,Energy,42172,20297,1572
ASIAN PAINTS,India,472,35,426,46,Basic Materials,7160,3623,379
MIZUHO FINANCIAL GROUP,Japan,473,35,610,34,Financial Services,52420,20291,3973
LG CHEM,South Korea,474,35,448,44,Basic Materials,12561,34977,3009
KUWAIT FINANCE HOUSE,Kuwait,475,35,901,23,Banking Services,16000,2648,778
JIANGSU YANGHE BREWERY JOINT-STOCK,China,476,35,525,39,Consumer Defensive,15026,3689,1092
WESFARMERS,Australia,477,35,406,48,Consumer Cyclical,122000,23397,1648
PACCAR,USA,478,35,644,32,Industries,31000,28819,3011
CARRIER GLOBAL,USA,479,35,443,45,Consumer Electronics,52000,20421,3534
NUCOR CORPORATION,USA,480,35,638,33,Basic Materials,31400,41512,7607
ENGIE,France,481,35,567,36,Utilities,171000,63768,4033
FIAT CHRYSLER AUTOMOBILES,UK,481,,481,,Consumer Cyclical,191752,127660,
ADANI GREEN ENERGY,India,482,35,705,30,Utilities,1340,642,47
CAPITAL ONE FINANCIAL CORPORATION,USA,483,35,272,66,Financial Services,55943,34250,7044
HOYA CORPORATION,Japan,484,35,370,51,Healthcare,37245,4891,1200
XIAOMI CORPORATION,China,485,35,312,58,Technology,33427,51577,3038
AXIS BANK,India,486,34,702,30,Financial Services,78300,6400,1765
AMERISOURCEBERGEN CORPORATION,USA,487,34,749,28,Healthcare,44000,238590,1698
WASTE CONNECTIONS,Canada,488,34,612,34,Industries,22109,6151,618
NASPERS,South Africa,489,34,639,33,Communication Services,35276,7940,12223
HILTON WORLDWIDE HOLDINGS,USA,490,34,475,42,Consumer Cyclical,159000,8773,1255
"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD.",China,491,34,540,38,Industries,37,4264,701
MEDIATEK,Taiwan,492,34,283,63,Technology,17377,17191,3882
DUPONT DE NEMOURS,USA,493,34,467,43,Basic Materials,23000,13017,5868
PACIFIC GAS &amp; ELECTRIC CORPORATION,USA,494,34,757,27,Utilities,26000,21680,1800
"YIHAI KERRY ARAWANA HOLDINGS CO., LTD",China,495,34,330,56,Consumer Defensive,,35540,649
CUMMINS,USA,496,34,619,34,Industries,73600,28074,2151
CONSOLIDATED EDISON,USA,497,34,695,30,Utilities,14319,15670,1660
IDEXX LABORATORIES,USA,498,34,415,47,Healthcare,10780,3367,679
DANONE,Switzerland,499,34,498,41,Consumer Defensive,101911,26758,2120
HCL TECHNOLOGIES,India,500,34,412,47,Technology,210966,11295,1780
TRANSDIGM GROUP,USA,501,34,571,36,Industries,14400,5429,780
JIANGSU HENGRUI MEDICINE,China,502,34,375,51,Healthcare,24431,3770,659
ELECTRONIC ARTS,USA,503,34,550,37,Communication Services,12900,6991,789
MANULIFE FINANCIAL CORPORATION,Canada,504,34,517,39,Financial Services,40000,44676,5318
WALGREENS BOOTS ALLIANCE,USA,505,33,418,47,Healthcare,325000,132510,2542
ADANI TRANSMISSIONS,India,506,33,808,26,Utilities,11178,1372,122
ALCON,Switzerland,507,33,512,40,Healthcare,25000,8291,376
CONSTELLATION SOFTWARE,Canada,508,33,575,36,Technology,20500,5106,310
KROGER,USA,509,33,586,35,Consumer Defensive,465000,148260,2244
MPLX LP,USA,510,33,661,32,Energy,5811,10541,3815
AMERIPRISE FINANCIAL,USA,511,33,581,36,Financial Services,13500,14271,2559
OTIS WORLDWIDE CORPORATION,USA,512,33,572,36,Industries,69000,13685,1253
ATLASSIAN CORPORATION,Australia,513,33,219,77,Technology,8813,1940,-425
MTR CORPORATION,Hong Kong,514,33,615,34,Industries,34209,6023,1219
STMICROELECTRONICS,Switzerland,515,32,437,45,Technology,51370,13249,2077
CHINA RESOURCES LAND,China,516,32,629,33,Real Estate,38087,30866,4715
WUXI APPTEC,China,517,32,386,50,Healthcare,33305,3598,801
SAMSUNG SDI,South Korea,518,32,591,35,Technology,11107,11114,959
METTLER-TOLEDO INTERNATIONAL,USA,519,32,585,35,Healthcare,18000,3919,872
MURATA MANUFACTURING,Japan,520,32,378,51,Technology,77581,13226,2292
HAIER SMART HOME,China,521,32,461,43,Technology,99299,33114,1902
AMETEK,USA,522,32,632,33,Industries,20000,6150,1159
LUXSHARE PRECISION INDUSTRY,China,523,32,365,52,Technology,137284,22403,1029
ALEXION PHARMACEUTICALS,USA,523,,523,39,Healthcare,3837,4990,2404
BAE SYSTEMS,UK,524,32,877,24,Industries,90500,25553,2301
DEUTSCHE BORSE,Germany,525,32,694,30,Financial Services,11078,4899,1332
JAPAN POST BANK,Japan,526,32,566,36,Financial Services,245472,12895,2659
BROWN-FORMAN CORPORATION,USA,527,32,659,32,Consumer Defensive,5200,3933,838
MARVELL TECHNOLOGY GROUP,Bermuda,528,32,246,70,Technology,7448,4462,-421
OLD DOMINION FREIGHT LINE,USA,529,32,533,38,Industries,23471,6260,1377
AVENUE SUPERMARTS,India,530,32,492,41,Consumer Defensive,1567,3866,187
EXPERIAN,Ireland,531,31,472,43,Industries,21700,6288,1165
VICI PROPERTIES,USA,532,31,1143,18,Real Estate,23,2600,1117
HOLCIM LTD,Switzerland,533,31,651,32,Basic Materials,67409,28525,2443
DOLLAR TREE,USA,534,31,664,32,Consumer Defensive,193100,28331,1615
CREDIT AGRICOLE,France,535,31,421,46,Financial Services,73037,0,6440
HANG SENG BANK,Hong Kong,536,31,555,37,Financial Services,9680,6297,1773
TELSTRA CORPORATION,Australia,537,31,590,35,Communication Services,27015,14482,1169
WEG,Brazil,538,31,960,22,Industries,31497,5057,769
COSTAR GROUP,USA,539,31,733,28,Real Estate,4742,2182,369
BANCO BRADESCO,Brazil,540,31,599,35,Financial Services,108794,20076,4542
SINGAPORE TELECOMMUNICATIONS (SINGTEL),Singapore,541,31,742,28,Communication Services,25000,11018,1399
AIER EYE HOSPITAL GROUP,China,542,31,635,33,Healthcare,36000,2183,338
BARCLAYS PLC,UK,543,31,407,48,Financial Services,81000,0,9397
NATWEST GROUP,UK,544,31,545,38,Banking Services,57900,0,4278
WELLTOWER,USA,545,31,534,38,Real Estate,514,5860,141
D.R. HORTON,USA,546,31,613,34,Consumer Cyclical,11788,33480,5857
CAIXABANK,Spain,547,31,876,24,Financial Services,36597,0,5759
BARRICK GOLD CORPORATION,Canada,548,31,649,32,Basic Materials,23000,11985,2022
JD HEALTH INTERNATIONAL INC,China,549,31,899,23,Technology,10000,4820,-169
RESMED,USA,550,31,600,35,Healthcare,8160,3578,779
SBA COMMUNICATIONS CORPORATION,USA,551,31,542,38,Real Estate,1834,2633,461
PUBLIC SERVICE ENTERPRISE GROUP,USA,552,30,614,34,Utilities,12525,9800,1031
KEYSIGHT TECHNOLOGIES,USA,553,30,605,34,Technology,15000,5420,1124
AIRPORTS OF THAILAND,Thailand,554,30,813,26,Industries,7230,904,-2083
BLOOMBERG LP,USA,554,,554,,Media,24315,10000,
NASDAQ,USA,555,30,647,32,Financial Services,6377,6226,1125
CHINA CITIC BANK CORPORATION,China,556,30,660,32,Financial Services,59258,30035,8179
INNOGY SE,Germany,556,,556,,Utilities,34523,41374,
SHANGHAI PUDONG DEVELOPMENT BANK,China,557,30,509,40,Financial Services,58200,28038,7791
DNB ASA,Norway,558,30,563,37,Financial Services,9205,0,2734
MARUTI SUZUKI INDIA,India,559,30,654,32,Consumer Cyclical,15945,10661,486
WEC ENERGY GROUP,USA,560,30,690,31,Utilities,7022,9597,1408
NIDEC CORPORATION,Japan,561,30,273,65,Industries,117556,13997,999
ILLUMINA,USA,562,30,314,58,Healthcare,10200,4584,-4404
CHINA VANKE,China,563,30,515,39,Real Estate,140565,65892,3278
GREAT WALL MOTOR COMPANY,China,564,30,350,54,Consumer Cyclical,63174,19850,979
GLOBALFOUNDRIES INC.,USA,565,30,658,32,Semiconductors,14600,8108,1448
RWE,Germany,566,30,795,26,Utilities,18246,24519,721
PPG INDUSTRIES,USA,567,30,510,40,Basic Materials,52000,17652,1026
PT BANK MANDIRI (PERSERO) TBK,Indonesia,568,30,910,23,Financial Services,38176,6738,1898
CHINA PACIFIC INSURANCE GROUP (CPIC),China,569,30,529,39,Financial Services,111247,68415,3905
GRUPO MEXICO,Mexico,570,30,602,34,Basic Materials,30268,14776,3868
CRH PLC,Ireland,571,30,494,41,Basic Materials,73000,30981,2565
LOBLAW COMPANIES,Canada,572,29,768,27,Consumer Defensive,221000,42472,1498
ROCKWELL AUTOMATION,USA,573,29,537,38,Industries,26000,7760,929
JAPAN POST HOLDINGS,Japan,574,29,675,31,Financial Services,232112,82199,3661
CITIC,China,575,29,685,31,Industries,135304,114940,8918
EVERSOURCE ENERGY,USA,576,29,687,31,Utilities,9626,12289,1404
ONEOK,USA,577,29,746,28,Energy,2966,22386,1721
ALNYLAM PHARMACEUTICALS,USA,578,29,1156,18,Healthcare,2002,1037,-1131
WUXI BIOLOGICS (CAYMAN),China,579,29,456,44,Healthcare,5544,1617,532
BAKER HUGHES COMPANY,USA,580,29,924,23,Energy,55000,21156,-601
ACWA POWER COMPANY,Saudi Arabia,581,29,,,Power Generation,4000,,
BANK OF NINGBO,China,582,29,501,41,Financial Services,17337,7757,2873
HENKEL AG,Germany,583,29,577,36,Consumer Defensive,51950,22113,1802
FANUC CORPORATION,Japan,584,29,489,41,Industries,8256,5349,1133
DIGITAL REALTY TRUST,USA,585,29,432,46,Real Estate,3412,4691,336
SUN PHARMACEUTICAL INDUSTRIES,India,586,29,789,27,Healthcare,36000,4810,410
AHOLD DELHAIZE,Netherlands,587,29,593,35,Consumer Defensive,414000,83312,2474
PICC GROUP (PEOPLE&#039;S INSURANCE COMPANY (GROUP) OF CHINA),China,588,29,715,29,Financial Services,198951,93588,3374
COPART,USA,589,29,646,32,Industries,9500,3500,1090
CHINA OVERSEAS LAND AND INVESTMENT,Hong Kong,590,29,678,31,Real Estate,6200,35251,5843
BAJAJ FINSERV,India,591,29,541,38,Financial Services,105,8447,570
CONSTELLATION ENERGY CORPORATION,USA,592,29,1093,,Utilities,13370,,
COGNIZANT TECHNOLOGY SOLUTIONS,USA,593,29,428,46,Technology,355300,19428,2290
GALAXY ENTERTAINMENT GROUP,Hong Kong,594,29,928,23,Consumer Cyclical,22000,2513,169
FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA),Mexico,595,29,731,28,Consumer Defensive,230000,28008,1435
VESTAS WIND SYSTEMS A/S,Denmark,596,29,739,28,Industries,29378,17177,184
W.W. GRAINGER,USA,597,29,809,26,Industries,26000,15228,1537
HYUNDAI MOTOR COMPANY,South Korea,598,28,495,41,Consumer Cyclical,71504,96441,4053
INNER MONGOLIA YILI INDUSTRIAL GROUP,China,599,28,507,40,Consumer Defensive,59052,16094,1267
CHENIERE ENERGY PARTNERS,USA,600,28,970,22,Energy,1551,33428,1428
ASSICURAZIONI GENERALI,Italy,601,28,625,33,Financial Services,72644,92763,2846
STATE STREET CORPORATION,USA,602,28,554,37,Financial Services,42226,12148,2660
CAPGEMINI SE,France,603,28,526,39,Technology,358400,20012,1275
CHUNGHWA TELECOM,Taiwan,604,28,641,33,Communication Services,32029,7333,1246
GENMAB A/S,Denmark,605,28,883,24,Healthcare,1660,1255,445
SWISSCOM AG,Switzerland,606,28,724,29,Communication Services,19157,11888,1947
IMPERIAL OIL,Canada,607,28,786,27,Energy,5300,29961,1980
TRANSURBAN GROUP,Australia,608,28,723,29,Industries,12200,2358,13
SEA LIMITED,Singapore,609,28,146,104,Communication Services,63800,9955,-2046
DELL TECHNOLOGIES,USA,610,28,447,44,Technology,133000,102300,2442
HEXAGON AB (PUBL),Sweden,611,28,503,41,Technology,23196,4784,883
ASTELLAS PHARMA,Japan,612,28,707,30,Healthcare,14522,9458,905
SMC CORPORATION,Japan,613,28,462,43,Industries,21620,5308,1408
TELUS CORPORATION,Canada,614,28,657,32,Communication Services,108500,13450,1322
GIVAUDAN SA,Switzerland,615,28,423,46,Basic Materials,16670,7105,873
AMERICAN WATER WORKS COMPANY,USA,616,28,668,31,Utilities,6400,3792,820
SYDNEY AIRPORT,Australia,616,,616,34,Industries,596,591,-106
WOOLWORTHS GROUP,Australia,617,28,642,33,Consumer Defensive,215000,41916,5465
VODAFONE GROUP,UK,618,28,470,43,Communication Services,104000,53685,2459
UNICREDIT,Italy,619,28,580,36,Financial Services,90836,18591,1510
KUEHNE + NAGEL INTERNATIONAL AG,Switzerland,620,27,531,38,Industries,78000,34867,2160
VERISK ANALYTICS,USA,621,27,622,33,Industries,7000,2497,953
FASTENAL COMPANY,USA,622,27,597,35,Industries,22386,6980,1086
MOBILEYE GLOBAL INC.,Israel,623,27,,,Automobile,3500,,
SUN LIFE FINANCIAL,Canada,624,27,634,33,Financial Services,29169,29933,3473
SAMPO OYJ,Finland,625,27,744,28,Financial Services,13550,14823,2829
THALES,France,626,27,1099,19,Industries,80702,17844,1199
SWISS RE,Switzerland,627,27,710,30,Financial Services,13189,46001,1437
LYONDELLBASELL INDUSTRIES,Netherlands,628,27,643,32,Basic Materials,19200,46173,5617
ON SEMICONDUCTOR CORPORATION,USA,629,27,747,28,Technology,31000,8326,1902
CORNING,USA,630,27,645,32,Ceramic Products,57500,14189,1316
POLY DEVELOPMENTS AND HOLDINGS GROUP,China,631,27,696,30,Real Estate,56811,41474,3985
"COUPANG, INC.",South Korea,632,27,435,45,Internet or Mobile App Based Business,63000,18406,-1542
WOLTERS KLUWER,Netherlands,633,27,730,28,Communication Services,20451,5258,802
DISCOVER FINANCIAL SERVICES,USA,634,27,558,37,Financial Services,196159,13337,4304
TITAN COMPANY,India,635,27,691,31,Consumer Cyclical,7235,3597,272
ALBEMARLE CORPORATION,USA,636,27,753,28,Basic Materials,7400,7320,2689
ZIMMER BIOMET HOLDINGS,USA,637,27,784,27,Healthcare,18000,6939,231
KBC GROUP NV,Belgium,638,27,538,38,Financial Services,33916,0,2881
GARTNER,USA,639,27,853,25,Technology,19500,5475,807
NATIONAL BANK OF KUWAIT,Kuwait,640,27,889,24,Banking Services,6970,2948,1104
GE HEALTHCARE TECHNOLOGIES,USA,640,27,,,Healthcare,50000,,
INTERNATIONAL FLAVORS &amp; FRAGRANCES,USA,641,26,570,36,Basic Materials,3200,12440,-1868
KONE OYJ,Finland,642,26,560,37,Industries,63277,11586,1117
WILLIS TOWERS WATSON PUBLIC COMPANY,UK,643,26,725,29,Financial Services,46600,8998,4222
ORANGE S.A,France,644,26,736,28,Communication Services,136430,46859,256
GREE ELECTRIC APPLIANCES,China,645,26,552,37,Technology,88846,27599,3356
LENNAR CORPORATION,USA,646,26,676,31,Consumer Cyclical,12012,33671,4562
EVE ENERGY CO. LTD,China,647,26,672,31,Industries,,2459,423
FUJITSU,Japan,648,26,653,32,Technology,124216,26173,1333
HP INC,USA,649,26,480,42,Technology,58000,62983,3203
MALAYAN BANKING BERHAD,Malaysia,650,26,874,24,Financial Services,43000,5332,1813
SHENZHEN INOVANCE TECHNOLOGY,China,651,26,758,27,Industries,11216,2611,520
INSTAGRAM,USA,651,,651,,Social Media,450,,
GLOBAL PAYMENTS,USA,652,26,457,44,Industries,25000,8975,111
NOKIA CORPORATION,Finland,653,26,582,36,Technology,86896,24467,1789
FOXCONN INDUSTRIAL INTERNET,China,654,26,559,37,Technology,803126,69054,3143
FRANCO-NEVADA CORPORATION,Canada,655,26,864,24,Basic Materials,45,1300,733
SANDS CHINA,Macao,656,26,1147,18,Consumer Cyclical,24000,2874,-1048
FERGUSON,UK,657,26,532,38,Industries,34352,22792,1508
PTT PUBLIC COMPANY,Thailand,658,26,633,33,Energy,10875,67471,3237
DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY,Thailand,659,26,1377,15,Industries,9451,2519,200
HORIZON THERAPEUTICS PUBLIC COMPANY,Ireland,660,26,940,22,Healthcare,2115,3226,534
BEIERSDORF,Germany,661,26,903,23,Consumer Defensive,21401,8405,703
INTACT FINANCIAL CORPORATION,Canada,662,26,912,23,Financial Services,29000,13549,1561
TWITTER,USA,663,,663,32,Communication Services,7500,5077,-221
NATURGY ENERGY GROUP,Spain,663,26,679,31,Utilities,7000,24398,1338
SAUDI ELECTRICITY COMPANY,Saudi Arabia,664,26,774,27,Utilities,32500,18490,3876
SHAANXI COAL INDUSTRY COMPANY,China,665,25,1118,18,Energy,29255,22158,3076
ASHTEAD GROUP,UK,666,25,561,37,Industries,17568,7962,1251
BAXTER INTERNATIONAL,USA,667,25,453,44,Healthcare,60000,15113,-2433
E.ON SE,Germany,668,25,596,35,Utilities,72169,77335,4690
WIPRO,India,669,25,348,54,Technology,247000,9900,1529
COCA-COLA EUROPACIFIC PARTNERS PLC,UK,670,25,797,26,Consumer Defensive,33000,15167,1082
COMPAGNIE DE SAINT-GOBAIN,France,671,25,530,38,Ceramic Products,170714,48664,2778
VEEVA SYSTEMS,USA,672,25,583,36,Healthcare,5482,2155,487
ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL. LTD,China,673,25,549,37,Healthcare,,1167,354
M&amp;T BANK CORPORATION,USA,674,25,920,23,Financial Services,22808,8042,1891
HORMEL FOODS CORPORATION,USA,675,25,770,27,Consumer Defensive,20000,12458,999
DIAMONDBACK ENERGY,USA,676,25,950,22,Energy,972,9643,4386
GENUINE PARTS COMPANY,USA,677,25,1049,20,Consumer Cyclical,58000,22095,1182
T. ROWE PRICE GROUP,USA,678,25,451,44,Financial Services,7868,6488,1521
FORMOSA PETROCHEMICAL CORPORATION,Taiwan,679,25,618,34,Energy,13977,21603,1721
EQT AB (PUBL),Sweden,680,25,402,48,Financial Services,1160,150,86
APTIV,Ireland,681,25,430,46,Consumer Cyclical,160000,15618,590
ENBW ENERGIE BADEN-WURTTEMBERG AG,Germany,682,25,895,23,Utilities,23293,32138,363
COLOPLAST A/S,Denmark,683,25,601,35,Healthcare,12568,2875,714
KELLOGG COMPANY,USA,684,25,923,23,Consumer Defensive,30000,15315,960
UNITED RENTALS,USA,685,25,888,24,Industries,24700,11642,2105
BRIDGESTONE CORPORATION,Japan,686,25,684,31,Consumer Cyclical,135636,26618,3231
FLUTTER ENTERTAINMENT,Ireland,687,25,773,27,Consumer Cyclical,16813,7901,-543
ULTRATECH CEMENT,India,688,25,718,29,Basic Materials,22000,6472,919
SAIC MOTOR CORPORATION,China,689,25,543,38,Consumer Cyclical,204815,113160,3570
NARI TECHNOLOGY,China,690,25,656,32,Industries,8211,6172,821
SKANDINAVISKA ENSKILDA BANKEN AB (PUBL.),Sweden,691,24,693,31,Financial Services,16500,0,2669
TONGWEI,China,692,24,708,30,Consumer Defensive,23635,9239,1194
ADIDAS,Germany,693,24,340,55,Consumer Cyclical,62285,23400,2332
RIYAD BANK,Saudi Arabia,694,24,941,22,Financial Services,6147,3086,1606
SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION,China,695,24,701,30,Technology,,5443,1701
CBRE GROUP,USA,696,24,592,35,Real Estate,115000,30828,1407
HARTFORD FINANCIAL SERVICES GROUP,USA,697,24,856,25,Financial Services,18800,22362,1794
ALEXANDRIA REAL ESTATE EQUITIES,USA,698,24,620,33,Real Estate,593,2588,513
SARTORIUS STEDIM BIOTECH,Germany,699,24,528,39,Healthcare,9016,3180,456
CDW CORPORATION,USA,700,24,775,27,Technology,9900,23748,1114
FIRSTENERGY,USA,701,24,887,24,Utilities,12335,12459,406
AGNICO EAGLE MINES,Canada,702,24,1589,12,Basic Materials,16105,3823,543
